Tempo,Canal 0,Canal 1
1702557204.7758229,0.0479,
1702557204.7818255,0.0,0.0
1702557204.7878234,0.0,0.0
1702557204.7918239,0.0,0.0
1702557204.797823,0.0,0.0
1702557204.8018239,0.0,0.0
1702557204.8068361,0.0,0.0
1702557204.8118234,0.0,0.0
1702557204.816825,0.0049,0.0
1702557204.8218222,0.132,0.1036
1702557204.8278234,0.8935,1.0
1702557204.8328261,1.0,1.0
1702557204.8378332,1.0,1.0
1702557204.8438215,1.0,1.0
1702557204.848829,1.0,1.0
1702557204.852831,1.0,1.0
1702557204.8598247,0.433,0.4907
1702557204.8638248,0.1984,0.1173
1702557204.8688257,0.0,0.0
1702557204.8748355,0.0,0.0
1702557204.878825,0.0,0.0
1702557204.885826,0.0,0.0
1702557204.8928251,0.0,0.0
1702557204.8998294,0.0,0.0
1702557204.907824,0.0,0.0
1702557204.91317,0.0049,0.0
1702557204.9191895,0.0323,0.0049
1702557204.926171,0.7204,0.7683
1702557204.930168,1.0,1.0
1702557204.9371746,1.0,1.0
1702557204.9491725,1.0,1.0
1702557204.9563305,1.0,1.0
1702557204.9606998,1.0,1.0
1702557204.963695,0.6725,0.7146
1702557204.9686987,0.0264,0.0
1702557204.9757144,0.0,0.0
1702557204.978702,0.0,0.0
1702557204.9826949,0.0,0.0
1702557204.9886975,0.0068,0.0
1702557204.9951403,0.0,0.0
1702557204.9981408,0.0098,0.0
1702557205.004157,0.0,0.0
1702557205.0102856,0.0078,0.0
1702557205.0133054,0.521,0.4868
1702557205.017312,1.0,1.0
1702557205.0253077,1.0,1.0
1702557205.0301318,1.0,1.0
1702557205.0341537,1.0,1.0
1702557205.0441558,1.0,1.0
1702557205.0511506,0.8925,0.912
1702557205.1167023,0.2111,0.1251
1702557205.1235847,0.0,0.0
1702557205.1296146,0.0,0.0
1702557205.1416411,0.0,0.0
1702557205.1466362,0.0,0.0
1702557205.151644,0.0,0.0
1702557205.1593316,0.0,0.0
1702557205.1623273,0.002,0.0
1702557205.165338,0.0,0.0
1702557205.170347,0.2307,0.2023
1702557205.174332,0.5005,0.5572
1702557205.1773324,1.0,1.0
1702557205.1793277,1.0,1.0
1702557205.1833339,1.0,1.0
1702557205.1898816,1.0,1.0
1702557205.1919057,1.0,1.0
1702557205.1939054,1.0,1.0
1702557205.1959052,0.3685,0.3744
1702557205.1999063,0.0,0.0
1702557205.2058985,0.0,0.0
1702557205.2078927,0.0,0.0
1702557205.2098925,0.0,0.0
1702557205.2118924,0.0,0.0
1702557205.2148974,0.0,0.0
1702557205.2228947,0.0,0.0
1702557205.2258973,0.0,0.0
1702557205.2278962,0.0841,0.044
1702557205.2308965,0.8113,0.9062
1702557205.2349062,1.0,1.0
1702557205.239908,1.0,1.0
1702557205.2419052,1.0,1.0
1702557205.2439048,1.0,1.0
1702557205.245905,1.0,1.0
1702557205.2489018,0.5112,0.5885
1702557205.2551134,0.0,0.0
1702557205.258116,0.0,0.0
1702557205.2601101,0.0,0.0
1702557205.2621105,0.0,0.0
1702557205.266122,0.0,0.0
1702557205.2741153,0.0,0.0
1702557205.2761137,0.0,0.0
1702557205.2781134,0.0,0.0
1702557205.2801137,0.0205,0.0
1702557205.2831233,0.6413,0.6373
1702557205.2891293,1.0,1.0
